Date,Open,High,Low,Close,Adj Close,Volume
2002-09-04,12.800000,12.800000,12.800000,12.800000,8.071751,2400
2002-09-05,12.500000,12.975000,12.500000,12.950000,8.166342,3080
2002-09-06,12.525000,12.525000,12.352500,12.352500,7.789555,1080
2002-09-09,12.352500,12.352500,12.352500,12.352500,7.789555,0
2002-09-10,13.125000,13.125000,13.122500,13.125000,8.276698,840
2002-09-11,13.125000,13.125000,13.125000,13.125000,8.276698,0
2002-09-12,12.750000,12.750000,12.750000,12.750000,8.040221,200
2002-09-13,12.750000,12.750000,12.750000,12.750000,8.040221,0
2002-09-16,12.750000,12.750000,12.750000,12.750000,8.040221,0
2002-09-17,12.652500,12.652500,12.525000,12.652500,7.978737,600
2002-09-18,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-19,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-20,0.863200,0.863200,0.863200,0.863200,0.544339,29
2002-09-23,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-24,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-25,0.863200,0.863200,0.863200,0.863200,0.544339,29
2002-09-26,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-27,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-09-30,12.525000,12.525000,12.525000,12.525000,7.898335,0
2002-10-01,0.863200,0.863200,0.863200,0.863200,0.544339,29
2002-10-02,12.575000,12.587500,12.575000,12.587500,7.937747,2040
2002-10-03,0.863200,0.863200,0.863200,0.863200,0.544339,29
2002-10-04,12.587500,12.587500,12.587500,12.587500,7.937747,0
2002-10-07,0.690560,0.690560,0.690560,0.690560,0.435471,6
2002-10-08,12.600000,12.600000,12.600000,12.600000,7.945630,40
2002-10-09,12.575000,12.600000,12.575000,12.600000,7.945630,3240
2002-10-10,12.750000,12.750000,12.750000,12.750000,8.040221,40
2002-10-11,0.690560,0.690560,0.690560,0.690560,0.435471,6
2002-10-14,12.575000,12.625000,12.575000,12.625000,7.961395,3360
2002-10-15,12.545000,12.545000,12.250000,12.250000,7.724918,480
2002-10-16,0.690560,0.690560,0.690560,0.690560,0.435471,9
2002-10-17,12.125000,12.125000,12.125000,12.125000,7.646091,0
2002-10-18,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-10-21,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-10-22,12.125000,12.125000,12.125000,12.125000,7.646091,0
2002-10-23,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-10-24,12.125000,12.125000,12.125000,12.125000,7.646091,0
2002-10-25,12.125000,12.125000,12.125000,12.125000,7.646091,0
2002-10-28,11.900000,11.900000,11.900000,11.900000,7.504206,200
2002-10-29,11.900000,11.900000,11.900000,11.900000,7.504206,0
2002-10-30,11.900000,11.900000,11.900000,11.900000,7.504206,0
2002-10-31,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-01,12.050000,12.075000,12.050000,12.075000,7.614562,280
2002-11-04,12.075000,12.075000,12.075000,12.075000,7.614562,0
2002-11-05,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-06,12.075000,12.075000,12.075000,12.075000,7.614562,0
2002-11-07,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-08,11.850000,11.875000,11.850000,11.875000,7.488441,280
2002-11-11,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-12,11.602500,11.602500,11.602500,11.602500,7.316600,80
2002-11-13,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-14,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-15,0.863200,0.863200,0.863200,0.863200,0.544339,61
2002-11-18,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-19,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-20,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-21,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-22,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-25,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-26,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-27,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-11-29,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-12-02,0.863200,0.863200,0.034530,0.863200,0.544339,87
2002-12-03,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-12-04,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-12-05,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-12-06,11.550000,11.550000,11.550000,11.550000,7.283494,0
2002-12-09,11.800000,11.800000,11.800000,11.800000,7.441145,40
2002-12-10,11.800000,11.800000,11.800000,11.800000,7.441145,0
2002-12-11,11.452500,11.997500,11.452500,11.997500,7.565691,400
2002-12-12,0.690560,0.690560,0.690560,0.690560,0.435471,87
2002-12-13,11.997500,11.997500,11.997500,11.997500,7.565691,0
2002-12-16,11.997500,11.997500,11.997500,11.997500,7.565691,0
2002-12-17,0.690560,0.863200,0.690560,0.690560,0.435471,652
2002-12-18,0.690560,0.863200,0.690560,0.690560,0.435471,652
2002-12-19,11.875000,11.875000,11.875000,11.875000,7.488441,0
2002-12-20,0.690560,0.863200,0.690560,0.690560,0.435471,652
